LINEUPS,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE,DATE
A. Davis - T. Prince - A. Reaves,LAL,1,28,105.3,132.2,-26.9,61.9,1.63,16.3,30.3,67.9,47.5,0.1,46.2,50.8,100.26,35.4,10/24/2023
D. Russell - T. Prince - A. Reaves,LAL,1,21,117.4,122.2,-4.8,63.2,3.00,18.8,27.3,68.0,48.9,0.1,56.4,59.8,105.17,48.6,10/24/2023
A. Davis - D. Russell - A. Reaves,LAL,1,19,120.0,132.5,-12.5,62.5,2.50,18.5,22.2,65.0,44.7,0.1,59.4,62.9,102.95,44.7,10/24/2023
A. Davis - D. Russell - T. Prince,LAL,1,19,120.0,132.5,-12.5,62.5,2.50,18.5,22.2,65.0,44.7,0.1,59.4,62.9,102.95,44.7,10/24/2023
L. James - A. Davis - D. Russell,LAL,1,18,125.6,120.5,5.1,64.7,3.67,20.8,16.7,72.2,44.4,0.1,63.6,65.5,103.62,48.7,10/24/2023
L. James - D. Russell - A. Reaves,LAL,1,18,114.6,115.0,-0.4,64.7,3.67,19.3,23.8,71.4,47.6,0.1,55.6,58.2,107.50,48.5,10/24/2023
L. James - D. Russell - T. Prince,LAL,1,18,114.6,115.0,-0.4,64.7,3.67,19.3,23.8,71.4,47.6,0.1,55.6,58.2,107.50,48.5,10/24/2023
L. James - T. Prince - A. Reaves,LAL,1,18,114.6,115.0,-0.4,64.7,3.67,19.3,23.8,71.4,47.6,0.1,55.6,58.2,107.50,48.5,10/24/2023
L. James - A. Davis - A. Reaves,LAL,1,16,119.4,131.4,-12.0,60.0,3.00,18.8,17.6,68.8,42.4,0.1,60.0,62.5,103.48,44.2,10/24/2023
L. James - A. Davis - T. Prince,LAL,1,16,117.1,129.4,-12.3,64.3,3.00,19.1,17.6,68.8,42.4,0.1,58.6,61.4,103.72,44.1,10/24/2023
D. Russell - G. Vincent - C. Reddish,LAL,1,11,115.0,122.2,-7.2,50.0,2.50,16.7,50.0,71.4,58.8,0.1,57.9,57.8,86.86,52.4,10/24/2023
L. James - D. Russell - C. Wood,LAL,1,10,168.8,112.5,56.3,63.6,7.00,25.0,71.4,71.4,71.4,0.1,76.5,75.5,78.77,73.6,10/24/2023
T. Prince - R. Hachimura - A. Reaves,LAL,1,9,80.0,115.0,-35.0,57.1,1.00,12.1,56.3,66.7,60.7,0.2,30.4,33.5,103.78,28.0,10/24/2023
A. Davis - G. Vincent - A. Reaves,LAL,1,8,23.5,112.5,-89.0,50.0,0.20,4.2,40.0,80.0,50.0,0.3,11.8,11.8,104.44,-47.4,10/24/2023
A. Davis - R. Hachimura - A. Reaves,LAL,1,8,58.8,116.7,-57.8,50.0,0.40,7.7,50.0,62.5,54.5,0.3,22.2,26.5,103.92,-6.3,10/24/2023
A. Davis - R. Hachimura - G. Vincent,LAL,1,8,55.6,123.5,-68.0,40.0,0.40,7.7,42.9,80.0,52.6,0.3,26.3,26.3,100.20,0.0,10/24/2023
D. Russell - C. Wood - G. Vincent,LAL,1,8,146.2,138.5,7.7,62.5,5.00,21.7,71.4,60.0,66.7,0.1,64.3,63.8,74.73,51.7,10/24/2023
L. James - C. Wood - G. Vincent,LAL,1,8,158.3,125.0,33.3,62.5,5.00,22.7,83.3,60.0,72.7,0.1,69.2,68.4,73.85,63.5,10/24/2023
L. James - D. Russell - G. Vincent,LAL,1,8,135.7,138.5,-2.7,62.5,5.00,20.0,75.0,60.0,69.2,0.1,60.0,59.8,76.45,49.2,10/24/2023
A. Davis - T. Prince - G. Vincent,LAL,1,7,28.6,138.5,-109.9,50.0,0.25,4.8,46.2,75.0,52.9,0.3,13.3,13.3,97.69,-27.3,10/24/2023
A. Davis - T. Prince - R. Hachimura,LAL,1,7,71.4,140.0,-68.6,50.0,0.50,8.7,58.3,57.1,57.9,0.3,25.0,29.6,97.57,5.6,10/24/2023
D. Russell - C. Wood - C. Reddish,LAL,1,7,176.9,100.0,76.9,66.7,0.00,26.1,66.7,66.7,66.7,0.0,78.6,77.3,85.09,86.9,10/24/2023
L. James - C. Wood - C. Reddish,LAL,1,7,192.3,92.3,100.0,60.0,0.00,26.1,80.0,66.7,72.7,0.0,85.7,84.0,85.68,100,10/24/2023
L. James - D. Russell - C. Reddish,LAL,1,7,164.3,100.0,64.3,66.7,0.00,24.0,71.4,66.7,69.2,0.0,73.3,72.4,86.86,85.0,10/24/2023
T. Prince - G. Vincent - A. Reaves,LAL,1,7,28.6,138.5,-109.9,50.0,0.25,4.8,46.2,75.0,52.9,0.3,13.3,13.3,97.69,-27.3,10/24/2023
D. Russell - G. Vincent - J. Hayes,LAL,1,6,60.0,130.0,-70.0,33.3,0.50,7.7,33.3,100,55.6,0.2,33.3,33.3,84.96,-5.9,10/24/2023
L. James - G. Vincent - C. Reddish,LAL,1,6,150.0,125.0,25.0,66.7,0.00,21.1,83.3,50.0,70.0,0.0,63.6,63.1,78.40,77.5,10/24/2023
R. Hachimura - G. Vincent - A. Reaves,LAL,1,6,30.8,107.7,-76.9,50.0,0.25,5.0,46.2,75.0,52.9,0.3,13.3,13.3,102.30,-50.0,10/24/2023
A. Davis - C. Wood - A. Reaves,LAL,1,5,91.7,150.0,-58.3,50.0,2.00,14.3,0.0,80.0,44.4,0.1,50.0,56.4,102.19,38.0,10/24/2023
A. Davis - C. Wood - C. Reddish,LAL,1,5,138.5,125.0,13.5,57.1,0.00,23.5,0.0,83.3,50.0,0.0,72.7,75.8,109.42,62.1,10/24/2023
A. Davis - C. Wood - T. Prince,LAL,1,5,81.8,130.0,-48.2,66.7,2.00,15.4,0.0,80.0,44.4,0.1,42.9,51.4,108.00,37.0,10/24/2023
A. Davis - D. Russell - C. Reddish,LAL,1,5,127.3,118.2,9.1,50.0,3.00,21.4,0.0,100,50.0,0.1,77.8,77.8,110.38,55.2,10/24/2023
C. Wood - G. Vincent - C. Reddish,LAL,1,5,166.7,125.0,41.7,66.7,0.00,23.5,80.0,50.0,66.7,0.0,70.0,68.9,75.79,80.5,10/24/2023
C. Wood - T. Prince - A. Reaves,LAL,1,5,81.8,130.0,-48.2,66.7,2.00,15.4,0.0,80.0,44.4,0.1,42.9,51.4,108.00,37.0,10/24/2023
R. Hachimura - G. Vincent - C. Reddish,LAL,1,5,66.7,81.8,-15.2,25.0,0.33,7.7,0.0,100,44.4,0.3,44.4,44.4,102.41,28.6,10/24/2023
T. Prince - R. Hachimura - G. Vincent,LAL,1,5,40.0,140.0,-100.0,50.0,0.33,5.9,54.5,66.7,57.1,0.3,15.4,15.4,93.20,-23.5,10/24/2023
A. Davis - C. Reddish - A. Reaves,LAL,1,4,100.0,100.0,0.0,50.0,2.00,16.7,0.0,80.0,44.4,0.1,50.0,56.3,115.93,53.1,10/24/2023
A. Davis - D. Russell - R. Hachimura,LAL,1,4,133.3,140.0,-6.7,40.0,1.00,16.7,50.0,60.0,57.1,0.2,71.4,76.1,106.88,50.0,10/24/2023
A. Davis - G. Vincent - C. Reddish,LAL,1,4,60.0,125.0,-65.0,33.3,0.50,9.1,0.0,100,33.3,0.2,42.9,42.9,114.19,18.8,10/24/2023
D. Russell - R. Hachimura - A. Reaves,LAL,1,4,120.0,90.0,30.0,60.0,3.00,18.8,60.0,66.7,64.3,0.1,50.0,55.1,117.07,70.7,10/24/2023
D. Russell - R. Hachimura - C. Reddish,LAL,1,4,88.9,100.0,-11.1,25.0,0.50,10.0,0.0,100,50.0,0.2,57.1,57.1,97.30,41.2,10/24/2023
D. Russell - R. Hachimura - G. Vincent,LAL,1,4,88.9,100.0,-11.1,25.0,0.50,10.0,0.0,100,50.0,0.2,57.1,57.1,97.30,41.2,10/24/2023
D. Russell - T. Prince - R. Hachimura,LAL,1,4,120.0,90.0,30.0,60.0,3.00,18.8,60.0,66.7,64.3,0.1,50.0,55.1,117.07,70.7,10/24/2023
G. Vincent - C. Reddish - J. Hayes,LAL,1,4,75.0,112.5,-37.5,0.0,0.00,0.0,25.0,66.7,42.9,0.1,33.3,43.6,94.04,16.7,10/24/2023
A. Davis - D. Russell - C. Wood,LAL,1,3,112.5,114.3,-1.8,66.7,0.00,20.0,0.0,100,50.0,0.0,80.0,76.5,107.46,53.8,10/24/2023
A. Davis - D. Russell - G. Vincent,LAL,1,3,85.7,142.9,-57.1,33.3,1.00,12.5,0.0,100,33.3,0.1,60.0,60.0,112.63,23.5,10/24/2023
A. Davis - R. Hachimura - C. Reddish,LAL,1,3,75.0,100.0,-25.0,33.3,0.50,11.1,0.0,100,40.0,0.3,50.0,50.0,111.34,33.3,10/24/2023
C. Wood - C. Reddish - A. Reaves,LAL,1,3,142.9,150.0,-7.1,50.0,0.00,22.2,0.0,75.0,50.0,0.0,66.7,72.7,104.58,60.5,10/24/2023
C. Wood - G. Vincent - J. Hayes,LAL,1,3,100.0,160.0,-60.0,50.0,1.00,16.7,50.0,100,66.7,0.3,50.0,50.0,76.69,8.7,10/24/2023
D. Russell - C. Reddish - J. Hayes,LAL,1,3,33.3,100.0,-66.7,0.0,0.00,0.0,25.0,100,50.0,0.2,20.0,20.0,93.18,-36.4,10/24/2023
D. Russell - C. Wood - J. Hayes,LAL,1,3,100.0,160.0,-60.0,50.0,1.00,16.7,50.0,100,66.7,0.3,50.0,50.0,76.69,8.7,10/24/2023
L. James - A. Davis - C. Wood,LAL,1,3,200.0,83.3,116.7,50.0,0.00,28.6,0.0,100,66.7,0.0,100,100,101.54,90.0,10/24/2023
L. James - C. Wood - J. Hayes,LAL,1,3,100.0,160.0,-60.0,50.0,1.00,16.7,50.0,100,66.7,0.3,50.0,50.0,76.69,8.7,10/24/2023
L. James - D. Russell - J. Hayes,LAL,1,3,66.7,183.3,-116.7,50.0,1.00,11.1,50.0,100,60.0,0.2,33.3,33.3,82.44,-6.7,10/24/2023
L. James - G. Vincent - J. Hayes,LAL,1,3,66.7,183.3,-116.7,50.0,1.00,11.1,50.0,100,60.0,0.2,33.3,33.3,82.44,-6.7,10/24/2023
A. Davis - C. Wood - G. Vincent,LAL,1,2,0.0,140.0,-140.0,0.0,0.00,0.0,0.0,100,25.0,0.2,0.0,0.0,109.92,-71.4,10/24/2023
A. Davis - T. Prince - C. Reddish,LAL,1,2,133.3,116.7,16.7,66.7,0.00,25.0,0.0,75.0,50.0,0.0,60.0,68.0,115.97,61.8,10/24/2023
C. Wood - T. Prince - C. Reddish,LAL,1,2,133.3,116.7,16.7,66.7,0.00,25.0,0.0,75.0,50.0,0.0,60.0,68.0,115.97,61.8,10/24/2023
