LINEUPS,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE,DATE
D. Russell - R. Hachimura - J. Hayes,LAL,1,2,50.0,50.0,0.0,0.0,0.00,0.0,0.0,100,50.0,0.3,33.3,33.3,89.03,0.0,10/24/2023
L. James - A. Davis - C. Reddish,LAL,1,2,200.0,83.3,116.7,50.0,0.00,28.6,0.0,100,66.7,0.0,100,100,107.76,91.7,10/24/2023
L. James - D. Russell - R. Hachimura,LAL,1,2,100.0,33.3,66.7,66.7,0.00,20.0,50.0,80.0,66.7,0.0,42.9,42.9,136.06,85.7,10/24/2023
L. James - R. Hachimura - A. Reaves,LAL,1,2,100.0,33.3,66.7,66.7,0.00,20.0,50.0,80.0,66.7,0.0,42.9,42.9,136.06,85.7,10/24/2023
L. James - T. Prince - R. Hachimura,LAL,1,2,100.0,33.3,66.7,66.7,0.00,20.0,50.0,80.0,66.7,0.0,42.9,42.9,136.06,85.7,10/24/2023
R. Hachimura - C. Reddish - J. Hayes,LAL,1,2,50.0,50.0,0.0,0.0,0.00,0.0,0.0,100,50.0,0.3,33.3,33.3,89.03,0.0,10/24/2023
R. Hachimura - G. Vincent - J. Hayes,LAL,1,2,50.0,50.0,0.0,0.0,0.00,0.0,0.0,100,50.0,0.3,33.3,33.3,89.03,0.0,10/24/2023
T. Prince - C. Reddish - A. Reaves,LAL,1,2,133.3,116.7,16.7,66.7,0.00,25.0,0.0,75.0,50.0,0.0,60.0,68.0,115.97,61.8,10/24/2023
C. Reddish - J. Hayes - M. Christie,LAL,1,1,200.0,133.3,66.7,0.0,0.00,0.0,0.0,0.0,0.0,0.0,100,106.4,96.00,61.5,10/24/2023
C. Reddish - J. Hayes - M. Lewis,LAL,1,1,200.0,133.3,66.7,0.0,0.00,0.0,0.0,0.0,0.0,0.0,100,106.4,96.00,61.5,10/24/2023
C. Reddish - M. Christie - M. Lewis,LAL,1,1,200.0,133.3,66.7,0.0,0.00,0.0,0.0,0.0,0.0,0.0,100,106.4,96.00,61.5,10/24/2023
C. Wood - G. Vincent - A. Reaves,LAL,1,1,0.0,133.3,-133.3,0.0,0.00,0.0,0.0,100,33.3,0.3,0.0,0.0,113.26,-40.0,10/24/2023
C. Wood - T. Prince - G. Vincent,LAL,1,1,0.0,133.3,-133.3,0.0,0.00,0.0,0.0,100,33.3,0.3,0.0,0.0,113.26,-40.0,10/24/2023
D. Russell - C. Wood - A. Reaves,LAL,1,1,50.0,200.0,-150.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,56.8,102.86,0.0,10/24/2023
D. Russell - C. Wood - T. Prince,LAL,1,1,50.0,200.0,-150.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,56.8,102.86,0.0,10/24/2023
G. Vincent - C. Reddish - A. Reaves,LAL,1,1,0.0,0.0,0.0,0.0,0.00,0.0,0.0,100,33.3,0.3,0.0,0.0,151.58,100,10/24/2023
G. Vincent - C. Reddish - M. Christie,LAL,1,1,200.0,133.3,66.7,0.0,0.00,0.0,0.0,0.0,0.0,0.0,100,106.4,96.00,61.5,10/24/2023
G. Vincent - C. Reddish - M. Lewis,LAL,1,1,200.0,133.3,66.7,0.0,0.00,0.0,0.0,0.0,0.0,0.0,100,106.4,96.00,61.5,10/24/2023
G. Vincent - J. Hayes - M. Christie,LAL,1,1,200.0,133.3,66.7,0.0,0.00,0.0,0.0,0.0,0.0,0.0,100,106.4,96.00,61.5,10/24/2023
G. Vincent - J. Hayes - M. Lewis,LAL,1,1,200.0,133.3,66.7,0.0,0.00,0.0,0.0,0.0,0.0,0.0,100,106.4,96.00,61.5,10/24/2023
G. Vincent - M. Christie - M. Lewis,LAL,1,1,200.0,133.3,66.7,0.0,0.00,0.0,0.0,0.0,0.0,0.0,100,106.4,96.00,61.5,10/24/2023
J. Hayes - M. Christie - M. Lewis,LAL,1,1,200.0,133.3,66.7,0.0,0.00,0.0,0.0,0.0,0.0,0.0,100,106.4,96.00,61.5,10/24/2023
L. James - C. Reddish - A. Reaves,LAL,1,1,200.0,200.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,100,100,96.00,50.0,10/24/2023
L. James - C. Reddish - J. Hayes,LAL,1,1,0.0,300.0,-300.0,0.0,0.00,0.0,50.0,0.0,50.0,0.0,0.0,0.0,106.40,-57.1,10/24/2023
L. James - C. Wood - A. Reaves,LAL,1,1,200.0,200.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,100,100,96.00,50.0,10/24/2023
R. Hachimura - C. Reddish - A. Reaves,LAL,1,1,0.0,0.0,0.0,0.0,0.00,0.0,0.0,100,33.3,0.3,0.0,0.0,151.58,100,10/24/2023
L. James - A. Davis - G. Vincent,LAL,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.00,100,10/24/2023
L. James - A. Davis - D. Russell,LAL,1,20,111.6,72.7,38.9,60.0,2.40,19.7,28.6,73.9,52.3,0.1,51.2,55.0,103.88,76.5,10/26/2023
A. Davis - T. Prince - A. Reaves,LAL,1,18,91.9,125.6,-33.7,57.1,1.60,16.7,15.0,47.1,29.7,0.1,45.5,48.3,100.40,30.3,10/26/2023
L. James - A. Davis - A. Reaves,LAL,1,18,115.0,95.1,19.9,47.1,1.33,16.3,7.7,72.2,45.2,0.1,60.0,65.2,110.25,61.7,10/26/2023
L. James - A. Davis - G. Vincent,LAL,1,18,121.1,43.6,77.5,66.7,3.33,18.9,27.8,85.7,59.0,0.1,48.5,57.4,105.60,126.1,10/26/2023
L. James - C. Wood - G. Vincent,LAL,1,18,123.1,41.0,82.1,60.0,2.25,16.7,31.6,83.3,60.5,0.1,48.5,58.7,103.52,143.0,10/26/2023
L. James - D. Russell - G. Vincent,LAL,1,17,97.3,58.3,39.0,76.9,2.50,18.5,31.8,84.2,56.1,0.1,41.2,47.4,100.88,91.3,10/26/2023
A. Davis - C. Wood - G. Vincent,LAL,1,16,122.9,55.6,67.3,64.3,3.00,18.4,29.4,84.2,58.3,0.1,48.3,58.0,103.80,115.1,10/26/2023
A. Davis - G. Vincent - A. Reaves,LAL,1,15,97.0,106.1,-9.1,66.7,2.00,14.6,11.8,61.5,33.3,0.1,40.0,50.6,106.19,48.4,10/26/2023
L. James - A. Davis - C. Wood,LAL,1,15,125.0,39.4,85.6,61.5,4.00,17.8,31.3,84.2,60.0,0.1,46.6,56.9,104.70,137.5,10/26/2023
A. Davis - D. Russell - A. Reaves,LAL,1,13,100.0,120.7,-20.7,50.0,1.20,17.6,9.1,61.5,37.5,0.2,56.8,57.9,103.52,35.3,10/26/2023
A. Davis - D. Russell - T. Prince,LAL,1,13,100.0,120.7,-20.7,50.0,1.20,17.6,9.1,61.5,37.5,0.2,56.8,57.9,103.52,35.3,10/26/2023
D. Russell - C. Wood - G. Vincent,LAL,1,13,114.3,29.6,84.7,72.7,2.67,19.0,37.5,83.3,61.8,0.1,46.2,53.4,100.25,150.9,10/26/2023
D. Russell - T. Prince - A. Reaves,LAL,1,13,100.0,120.7,-20.7,50.0,1.20,17.6,9.1,61.5,37.5,0.2,56.8,57.9,103.52,35.3,10/26/2023
L. James - D. Russell - C. Wood,LAL,1,13,114.3,29.6,84.7,72.7,2.67,19.0,37.5,83.3,61.8,0.1,46.2,53.4,100.25,150.9,10/26/2023
A. Davis - D. Russell - C. Wood,LAL,1,12,104.2,44.0,60.2,77.8,3.50,19.4,33.3,80.0,56.7,0.1,41.3,47.9,99.80,110.9,10/26/2023
A. Davis - D. Russell - G. Vincent,LAL,1,11,108.0,36.0,72.0,80.0,4.00,21.1,33.3,85.7,58.6,0.1,43.8,49.9,105.73,124.6,10/26/2023
L. James - A. Davis - T. Prince,LAL,1,10,109.1,117.4,-8.3,45.5,1.25,17.9,12.5,60.0,38.9,0.2,60.5,61.7,106.75,44.6,10/26/2023
L. James - D. Russell - A. Reaves,LAL,1,10,109.1,117.4,-8.3,45.5,1.25,17.9,12.5,60.0,38.9,0.2,60.5,61.7,106.75,44.6,10/26/2023
L. James - D. Russell - T. Prince,LAL,1,10,109.1,117.4,-8.3,45.5,1.25,17.9,12.5,60.0,38.9,0.2,60.5,61.7,106.75,44.6,10/26/2023
L. James - T. Prince - A. Reaves,LAL,1,10,109.1,117.4,-8.3,45.5,1.25,17.9,12.5,60.0,38.9,0.2,60.5,61.7,106.75,44.6,10/26/2023
A. Davis - C. Wood - A. Reaves,LAL,1,8,111.1,110.5,0.6,40.0,0.67,10.0,0.0,75.0,42.9,0.2,55.6,67.9,107.85,48.9,10/26/2023
L. James - G. Vincent - A. Reaves,LAL,1,8,122.2,66.7,55.6,50.0,1.50,14.3,0.0,87.5,53.8,0.1,59.1,69.4,114.94,105.0,10/26/2023
A. Davis - R. Hachimura - A. Reaves,LAL,1,7,64.3,128.6,-64.3,100,0.00,15.8,16.7,33.3,22.2,0.0,23.3,28.3,96.69,13.3,10/26/2023
A. Davis - R. Hachimura - G. Vincent,LAL,1,7,62.5,125.0,-62.5,100,3.00,14.3,15.4,33.3,21.1,0.1,23.3,29.8,105.93,8.7,10/26/2023
D. Russell - G. Vincent - C. Reddish,LAL,1,7,52.9,106.3,-53.3,100,0.80,18.2,12.5,100,46.2,0.3,36.4,37.9,114.23,11.4,10/26/2023
L. James - G. Vincent - C. Reddish,LAL,1,7,66.7,113.3,-46.7,100,2.00,20.0,12.5,100,36.4,0.1,37.5,38.8,105.88,24.5,10/26/2023
A. Davis - G. Vincent - C. Reddish,LAL,1,6,80.0,106.3,-26.3,100,1.33,21.1,0.0,100,36.4,0.2,50.0,51.5,120.32,27.0,10/26/2023
A. Davis - T. Prince - R. Hachimura,LAL,1,6,75.0,133.3,-58.3,100,0.00,17.6,20.0,20.0,20.0,0.0,26.9,32.4,92.16,21.3,10/26/2023
C. Wood - G. Vincent - A. Reaves,LAL,1,6,126.7,100.0,26.7,40.0,1.00,11.8,0.0,83.3,50.0,0.1,62.5,74.0,111.92,78.9,10/26/2023
D. Russell - G. Vincent - J. Hayes,LAL,1,6,76.9,58.3,18.6,66.7,0.40,11.8,33.3,87.5,64.3,0.4,43.8,51.2,100.84,91.7,10/26/2023
D. Russell - R. Hachimura - C. Reddish,LAL,1,6,60.0,100.0,-40.0,100,0.80,21.1,0.0,100,50.0,0.3,50.0,50.7,121.45,27.0,10/26/2023
D. Russell - R. Hachimura - G. Vincent,LAL,1,6,60.0,100.0,-40.0,100,0.80,21.1,0.0,100,50.0,0.3,50.0,50.7,121.45,27.0,10/26/2023
R. Hachimura - G. Vincent - A. Reaves,LAL,1,6,58.3,133.3,-75.0,100,0.00,12.5,18.2,20.0,18.8,0.0,19.2,25.2,97.90,5.4,10/26/2023
R. Hachimura - G. Vincent - C. Reddish,LAL,1,6,52.9,93.8,-40.8,100,0.80,19.0,0.0,100,46.2,0.3,40.0,41.4,127.06,17.1,10/26/2023
T. Prince - R. Hachimura - A. Reaves,LAL,1,6,75.0,133.3,-58.3,100,0.00,17.6,20.0,20.0,20.0,0.0,26.9,32.4,92.16,21.3,10/26/2023
A. Davis - C. Reddish - A. Reaves,LAL,1,5,81.8,108.3,-26.5,100,1.50,21.4,0.0,100,37.5,0.2,50.0,51.4,114.60,28.6,10/26/2023
A. Davis - T. Prince - G. Vincent,LAL,1,5,70.0,140.0,-70.0,100,0.00,14.3,22.2,0.0,15.4,0.0,22.7,29.5,92.60,15.4,10/26/2023
G. Vincent - C. Reddish - A. Reaves,LAL,1,5,81.8,108.3,-26.5,100,1.50,21.4,0.0,100,37.5,0.2,50.0,51.4,114.60,28.6,10/26/2023
L. James - C. Wood - A. Reaves,LAL,1,5,133.3,66.7,66.7,25.0,1.00,7.7,0.0,83.3,55.6,0.1,57.1,73.0,117.15,125.0,10/26/2023
L. James - D. Russell - J. Hayes,LAL,1,5,88.9,77.8,11.1,50.0,0.50,8.3,33.3,80.0,54.5,0.2,35.7,45.7,94.25,64.3,10/26/2023
L. James - G. Vincent - J. Hayes,LAL,1,5,88.9,77.8,11.1,50.0,0.50,8.3,33.3,80.0,54.5,0.2,35.7,45.7,94.25,64.3,10/26/2023
T. Prince - G. Vincent - A. Reaves,LAL,1,5,70.0,140.0,-70.0,100,0.00,14.3,22.2,0.0,15.4,0.0,22.7,29.5,92.60,15.4,10/26/2023
T. Prince - R. Hachimura - G. Vincent,LAL,1,5,70.0,140.0,-70.0,100,0.00,14.3,22.2,0.0,15.4,0.0,22.7,29.5,92.60,15.4,10/26/2023
L. James - D. Russell - C. Reddish,LAL,1,4,44.4,144.4,-100.0,100,2.00,16.7,16.7,100,28.6,0.1,25.0,25.0,102.86,2.7,10/26/2023
C. Wood - G. Vincent - J. Hayes,LAL,1,3,114.3,50.0,64.3,50.0,0.50,11.1,33.3,80.0,62.5,0.3,62.5,69.4,98.01,200.0,10/26/2023
D. Russell - C. Reddish - J. Hayes,LAL,1,3,33.3,66.7,-33.3,100,0.33,12.5,33.3,100,66.7,0.5,25.0,25.0,104.10,-60.0,10/26/2023
D. Russell - C. Wood - J. Hayes,LAL,1,3,114.3,50.0,64.3,50.0,0.50,11.1,33.3,80.0,62.5,0.3,62.5,69.4,98.01,200.0,10/26/2023
G. Vincent - C. Reddish - J. Hayes,LAL,1,3,33.3,66.7,-33.3,100,0.33,12.5,33.3,100,66.7,0.5,25.0,25.0,104.10,-60.0,10/26/2023
L. James - A. Davis - C. Reddish,LAL,1,3,100.0,66.7,33.3,100,2.00,25.0,0.0,100,50.0,0.2,62.5,61.5,110.77,75.0,10/26/2023
L. James - C. Reddish - A. Reaves,LAL,1,3,100.0,66.7,33.3,100,2.00,25.0,0.0,100,50.0,0.2,62.5,61.5,110.77,75.0,10/26/2023
L. James - C. Wood - J. Hayes,LAL,1,3,114.3,50.0,64.3,50.0,0.50,11.1,33.3,80.0,62.5,0.3,62.5,69.4,98.01,200.0,10/26/2023
L. James - D. Russell - R. Hachimura,LAL,1,3,57.1,150.0,-92.9,100,2.00,22.2,0.0,100,25.0,0.1,40.0,40.0,111.43,20.0,10/26/2023
L. James - R. Hachimura - C. Reddish,LAL,1,3,57.1,150.0,-92.9,100,2.00,22.2,0.0,100,25.0,0.1,40.0,40.0,111.43,20.0,10/26/2023
L. James - R. Hachimura - G. Vincent,LAL,1,3,57.1,150.0,-92.9,100,2.00,22.2,0.0,100,25.0,0.1,40.0,40.0,111.43,20.0,10/26/2023
A. Davis - C. Wood - C. Reddish,LAL,1,2,100.0,233.3,-133.3,100,1.00,25.0,0.0,0.0,0.0,0.3,100,79.8,94.95,0.0,10/26/2023
A. Davis - C. Wood - T. Prince,LAL,1,2,33.3,150.0,-116.7,0.0,,,,,,,,,93.33,-114.3,10/26/2023
,,,,,,,,,,,,,,,,118.36,35.3,10/26/2023
,,,,,,,,,,,,,,,,150.97,-28.6,10/26/2023
,,,,,,,,,,,,,,,,94.95,0.0,10/26/2023
,,,,,,,,,,,,,,,,94.95,0.0,10/26/2023
,,,,,,,,,,,,,,,,93.33,-114.3,10/26/2023
,,,,,,,,,,,,,,,,93.33,-114.3,10/26/2023
,,,,,,,,,,,,,,,,93.33,-114.3,10/26/2023
,,,,,,,,,,,,,,,,140.49,22.2,10/26/2023
,,1,1,100.0,100.0,0.0,100,0.00,33.3,0.0,100,50.0,0.0,50.0,50.0,90.00,50.0,10/26/2023
D. Russell - R. Hachimura - J. Hayes,LAL,1,1,50.0,0.0,50.0,100,0.33,20.0,0.0,100,100,0.8,100,100,122.93,-100.0,10/26/2023
D. Russell - T. Prince - R. Hachimura,LAL,1,1,100.0,100.0,0.0,100,0.00,33.3,0.0,100,50.0,0.0,50.0,50.0,90.00,50.0,10/26/2023
L. James - C. Reddish - J. Hayes,LAL,1,1,0.0,133.3,-133.3,0.0,0.00,0.0,33.3,0.0,33.3,0.0,0.0,0.0,85.71,-71.4,10/26/2023
R. Hachimura - C. Reddish - A. Reaves,LAL,1,1,0.0,66.7,-66.7,0.0,0.00,0.0,0.0,100,33.3,0.0,0.0,0.0,171.43,200.0,10/26/2023
R. Hachimura - C. Reddish - J. Hayes,LAL,1,1,50.0,0.0,50.0,100,0.33,20.0,0.0,100,100,0.8,100,100,122.93,-100.0,10/26/2023
R. Hachimura - G. Vincent - J. Hayes,LAL,1,1,50.0,0.0,50.0,100,0.33,20.0,0.0,100,100,0.8,100,100,122.93,-100.0,10/26/2023
L. James - D. Russell - T. Prince,LAL,1,29,106.5,125.0,-18.5,62.5,1.88,17.9,24.1,82.1,52.6,0.1,52.8,55.8,100.56,44.2,10/29/2023
L. James - A. Davis - T. Prince,LAL,1,27,94.7,119.3,-24.6,60.0,2.00,15.8,21.9,82.8,50.8,0.1,44.2,47.9,102.86,39.1,10/29/2023
A. Davis - D. Russell - T. Prince,LAL,1,26,100.0,136.4,-36.4,61.9,2.17,17.1,23.3,77.8,49.1,0.1,47.1,50.5,102.26,36.5,10/29/2023
A. Davis - T. Prince - A. Reaves,LAL,1,26,94.7,110.5,-15.8,64.7,2.20,14.5,23.5,88.9,52.5,0.1,42.0,47.3,103.77,41.7,10/29/2023
